ts,ProductID,Type,Airtemperature[°C],Processtemperature[°C],Rotationalspeed[rpm],Torque[Nm],Toolwear[min],FailureType
2023-06-01 00:00:00,M14860,M,25.950000000000045,36.450000000000045,1551,42.8,0,No Failure
2023-06-01 00:15:00,L47181,L,26.05000000000001,36.55000000000001,1408,46.3,3,No Failure
2023-06-01 00:30:00,L47182,L,25.950000000000045,36.35000000000002,1498,49.4,5,No Failure
2023-06-01 00:45:00,L47183,L,26.05000000000001,36.450000000000045,1433,39.5,7,No Failure
2023-06-01 01:00:00,L47184,L,26.05000000000001,36.55000000000001,1408,40.0,9,No Failure
2023-06-01 01:15:00,M14865,M,25.950000000000045,36.450000000000045,1425,41.9,11,No Failure
2023-06-01 01:30:00,L47186,L,25.950000000000045,36.450000000000045,1558,42.4,14,No Failure
2023-06-01 01:45:00,L47187,L,25.950000000000045,36.450000000000045,1527,40.2,16,No Failure
2023-06-01 02:00:00,M14868,M,26.15000000000004,36.55000000000001,1667,28.6,18,No Failure
2023-06-01 02:15:00,M14869,M,26.350000000000023,36.85000000000002,1741,28.0,21,No Failure
2023-06-01 02:30:00,H29424,H,26.25,36.75,1782,23.9,24,No Failure
2023-06-01 02:45:00,H29425,H,26.450000000000045,36.950000000000045,1423,44.3,29,No Failure
2023-06-01 03:00:00,M14872,M,26.450000000000045,36.950000000000045,1339,51.1,34,No Failure
2023-06-01 03:15:00,M14873,M,26.450000000000045,37.05000000000001,1742,30.0,37,No Failure
2023-06-01 03:30:00,L47194,L,26.450000000000045,37.05000000000001,2035,19.6,40,No Failure
2023-06-01 03:45:00,L47195,L,26.450000000000045,37.05000000000001,1542,48.4,42,No Failure
2023-06-01 04:00:00,M14876,M,26.450000000000045,37.05000000000001,1311,46.6,44,No Failure
2023-06-01 04:15:00,M14877,M,26.55000000000001,37.05000000000001,1410,45.6,47,No Failure
2023-06-01 04:30:00,H29432,H,26.65000000000004,37.05000000000001,1306,54.5,50,No Failure
2023-06-01 04:45:00,M14879,M,26.75,37.150000000000034,1632,32.5,55,No Failure
2023-06-01 05:00:00,H29434,H,26.75,37.150000000000034,1375,42.7,58,No Failure
2023-06-01 05:15:00,L47201,L,26.65000000000004,37.150000000000034,1450,44.8,63,No Failure
2023-06-01 05:30:00,M14882,M,26.75,37.150000000000034,1581,30.7,65,No Failure
2023-06-01 05:45:00,L47203,L,26.850000000000023,37.25,1758,25.7,68,No Failure
2023-06-01 06:00:00,M14884,M,26.850000000000023,37.25,1561,37.3,70,No Failure
2023-06-01 06:15:00,L47205,L,26.850000000000023,37.35000000000002,1861,23.3,73,No Failure
2023-06-01 06:30:00,L47206,L,26.950000000000045,37.35000000000002,1512,39.0,75,No Failure
2023-06-01 06:45:00,H29441,H,26.950000000000045,37.25,1811,24.6,77,No Failure
2023-06-01 07:00:00,L47208,L,26.950000000000045,37.25,1439,44.2,82,No Failure
2023-06-01 07:15:00,L47209,L,26.850000000000023,37.25,1693,30.1,84,No Failure
2023-06-01 07:30:00,M14890,M,26.950000000000045,37.35000000000002,1339,48.2,86,No Failure
2023-06-01 07:45:00,L47211,L,26.850000000000023,37.25,1798,25.5,89,No Failure
2023-06-01 08:00:00,L47212,L,26.850000000000023,37.25,1419,48.3,91,No Failure
2023-06-01 08:15:00,L47213,L,26.75,37.150000000000034,1665,32.5,93,No Failure
2023-06-01 08:30:00,M14894,M,26.65000000000004,36.950000000000045,1559,34.7,95,No Failure
2023-06-01 08:45:00,M14895,M,26.65000000000004,37.05000000000001,1452,48.6,98,No Failure
2023-06-01 09:00:00,M14896,M,26.75,37.05000000000001,1581,36.7,101,No Failure
2023-06-01 09:15:00,L47217,L,26.65000000000004,36.950000000000045,1439,39.2,104,No Failure
2023-06-01 09:30:00,H29452,H,26.75,37.05000000000001,1379,50.7,106,No Failure
2023-06-01 09:45:00,L47219,L,26.65000000000004,36.950000000000045,1350,52.5,111,No Failure
2023-06-01 10:00:00,L47220,L,26.65000000000004,36.950000000000045,1362,45.4,113,No Failure
2023-06-01 10:15:00,L47221,L,26.65000000000004,36.950000000000045,1368,50.8,115,No Failure
2023-06-01 10:30:00,M14902,M,26.65000000000004,36.950000000000045,1368,49.1,117,No Failure
2023-06-01 10:45:00,H29457,H,26.65000000000004,37.05000000000001,1372,48.5,120,No Failure
2023-06-01 11:00:00,M14904,M,26.65000000000004,36.950000000000045,1472,47.5,125,No Failure
